index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,-219976;64344;32838;130247,,53.270,169.995,0,0,"RESULT: no scores=-219976,64344,32838,130247"
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,-116390;20660;-6811;152586,,55.784,167.746,0,0,"RESULT: no scores=-116390,20660,-6811,152586"
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,-117989;18922;-2973;160206,,55.740,167.501,0,0,"RESULT: no scores=-117989,18922,-2973,160206"
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,-209126;28418;171093;3584,,56.071,167.792,0,0,"RESULT: yes scores=-209126,28418,171093,3584"
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,-221579;66761;-34705;173883,,57.015,167.170,0,0,"RESULT: no scores=-221579,66761,-34705,173883"
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,-109987;2688;83451;31368,,54.752,167.709,0,0,"RESULT: yes scores=-109987,2688,83451,31368"
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,-69492;-52395;145259;-137,,53.309,170.363,0,0,"RESULT: yes scores=-69492,-52395,145259,-137"
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,-59397;54523;-8546;107927,,54.763,167.800,0,0,"RESULT: no scores=-59397,54523,-8546,107927"
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,-122291;54452;-16086;118330,,56.782,167.763,0,0,"RESULT: no scores=-122291,54452,-16086,118330"
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-245354;2497;319180;-49210,,56.760,167.510,0,0,"RESULT: yes scores=-245354,2497,319180,-49210"
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,32434;11962;-33525;-13621,,59.534,167.963,0,0,"RESULT: silence scores=32434,11962,-33525,-13621"
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-171018;6356;172396;-26383,,54.029,170.786,0,0,"RESULT: yes scores=-171018,6356,172396,-26383"
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-134427;-12061;210975;-44952,,56.139,170.258,0,0,"RESULT: yes scores=-134427,-12061,210975,-44952"
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,-99466;47440;-67995;117786,,55.978,167.714,0,0,"RESULT: no scores=-99466,47440,-67995,117786"
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-115887;-21917;173407;-20153,,56.544,170.250,0,0,"RESULT: yes scores=-115887,-21917,173407,-20153"
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,-174581;133173;-94278;136267,,55.128,170.498,0,0,"RESULT: no scores=-174581,133173,-94278,136267"
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,-161417;18201;157966;-20987,,55.290,170.074,0,0,"RESULT: yes scores=-161417,18201,157966,-20987"
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-144334;14958;162682;-17203,,58.143,167.451,0,0,"RESULT: yes scores=-144334,14958,162682,-17203"
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,-138991;62886;-26810;152185,,57.048,167.779,0,0,"RESULT: no scores=-138991,62886,-26810,152185"
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,-107292;24760;19398;111221,,56.094,167.861,0,0,"RESULT: no scores=-107292,24760,19398,111221"
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-97852;-6088;157887;-48416,,56.855,168.226,0,0,"RESULT: yes scores=-97852,-6088,157887,-48416"
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,-292652;104374;25385;232483,,57.121,167.982,0,0,"RESULT: no scores=-292652,104374,25385,232483"
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,-168559;19234;-56973;165306,,56.786,167.640,0,0,"RESULT: no scores=-168559,19234,-56973,165306"
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,-297448;79251;-9583;232143,,53.390,170.226,0,0,"RESULT: no scores=-297448,79251,-9583,232143"
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,-183169;87764;-56873;189211,,54.556,170.047,0,0,"RESULT: no scores=-183169,87764,-56873,189211"
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,-136411;93394;-51423;195408,,54.509,169.852,0,0,"RESULT: no scores=-136411,93394,-51423,195408"
26,yes_39afb88e_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-163716;-7883;178579;-270654845,,58.870,170.051,0,0,"RESULT: yes scores=-163716,-7883,178579,-270654845"
27,go_8931f494_nohash_0,no,no,1,unknown,0,-128;-12;-128;11,-201858;105380;-33408;111901,,55.209,170.323,0,0,"RESULT: no scores=-201858,105380,-33408,111901"
28,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,-96566;63874;55275;1633,,58.031,167.408,0,0,"RESULT: unknown scores=-96566,63874,55275,1633"
29,no_a8f45bdc_nohash_0,no,no,1,no,1,-128;-128;-128;127,-283065;78919;-54787;238540,,54.235,170.390,0,0,"RESULT: no scores=-283065,78919,-54787,238540"
30,yes_cc6ee39b_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-135304;-25194;201824;-337668007,,61.426,170.616,0,0,"RESULT: yes scores=-135304,-25194,201824,-337668007"
31,go_190821dc_nohash_1,no,no,1,unknown,0,-128;-117;-128;117,-247201;93995;-91445;172135,,54.213,170.576,0,0,"RESULT: no scores=-247201,93995,-91445,172135"
32,yes_472b8045_nohash_4,yes,yes,1,yes,1,-128;-127;126;-128,-96287;9106;133775;-18743,,56.221,166.989,0,0,"RESULT: yes scores=-96287,9106,133775,-18743"
33,no_1a73dcd1_nohash_2,unknown,unknown,1,no,0,-128;4;-80;-52,-141899;64526;39875;55147,,59.911,167.840,0,0,"RESULT: unknown scores=-141899,64526,39875,55147"
34,no_6727b579_nohash_0,no,no,1,no,1,-128;-127;-128;127,-132097;60229;-68291;213844,,54.164,170.303,0,0,"RESULT: no scores=-132097,60229,-68291,213844"
35,no_270bfa52_nohash_1,no,no,1,no,1,-128;-125;-128;125,-166627;47818;-51690;1023072428,,58.104,170.699,0,0,"RESULT: no scores=-166627,47818,-51690,1023072428"
36,go_6adb8ad9_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,-96863;99550;-78852;147905,,55.963,167.375,0,0,"RESULT: no scores=-96863,99550,-78852,147905"
37,go_cb72dfb6_nohash_3,no,no,1,unknown,0,-128;-56;-125;53,-111056;69528;-8987;1144879,,57.121,167.653,0,0,"RESULT: no scores=-111056,69528,-8987,1144879"
38,no_b69002d4_nohash_0,no,unknown,0,no,0,-128;-30;-126;28,-119153;91548;-7579;-1022205425,,62.603,170.383,0,0,"RESULT: unknown scores=-119153,91548,-7579,-1022205425"
39,go_56eab10e_nohash_0,no,no,1,unknown,0,-128;-122;-128;122,-150014;97459;-23532;207080,,57.012,168.083,0,0,"RESULT: no scores=-150014,97459,-23532,207080"
40,go_d0faf7e4_nohash_3,unknown,unknown,1,unknown,1,-128;45;-127;-45,-161749;124468;-15264;111281,,63.690,167.782,0,0,"RESULT: unknown scores=-161749,124468,-15264,111281"
41,no_dce05676_nohash_0,no,no,1,no,1,-128;-126;-128;126,-179605;44575;-32126;165471,,57.111,167.861,0,0,"RESULT: no scores=-179605,44575,-32126,165471"
42,go_bb6d4301_nohash_3,no,no,1,unknown,0,-128;-73;-128;72,-222050;121457;-46614;155621,,54.827,170.268,0,0,"RESULT: no scores=-222050,121457,-46614,155621"
43,no_1dc86f91_nohash_3,no,no,1,no,1,-128;-108;-126;106,-103986;46556;-8440;110971,,53.203,170.089,0,0,"RESULT: no scores=-103986,46556,-8440,110971"
44,go_eeaf97c3_nohash_3,no,no,1,unknown,0,-128;-13;-125;10,-111847;88371;-3286;96590,,54.915,167.937,0,0,"RESULT: no scores=-111847,88371,-3286,96590"
45,yes_1b18600d_nohash_1,yes,yes,1,yes,1,-70;-80;-7;-100,-4257;-4405;17150;-15473,,54.887,167.507,0,0,"RESULT: yes scores=-4257,-4405,17150,-15473"
46,yes_3e31dffe_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-163486;-25323;203960;-37591,,58.887,168.110,0,0,"RESULT: yes scores=-163486,-25323,203960,-37591"
47,yes_2296b1af_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,-96430;2953;164701;-48971,,55.623,167.547,0,0,"RESULT: yes scores=-96430,2953,164701,-48971"
48,yes_de3fe344_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-140687;2274;166211;-61750,,54.237,170.402,0,0,"RESULT: yes scores=-140687,2274,166211,-61750"
49,go_e71a9381_nohash_2,no,no,1,unknown,0,-128;-96;-128;95,-199743;73667;-31656;121175,,54.330,170.659,0,0,"RESULT: no scores=-199743,73667,-31656,121175"
50,no_5f1253e9_nohash_0,no,no,1,no,1,-128;-106;-115;93,-108026;39304;24192;97957,,54.913,167.820,0,0,"RESULT: no scores=-108026,39304,24192,97957"
51,no_6c0f6493_nohash_0,no,no,1,no,1,-128;-123;-128;123,-158437;76205;-49320;1022025002,,60.768,168.020,0,0,"RESULT: no scores=-158437,76205,-49320,1022025002"
