index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_27c24504_nohash_3,no,no,1,unknown,0,-128;-96;-124;92,-150131;62052;8900;112371,,100.630,170.065,0,0,"RESULT: no scores=-150131,62052,8900,112371"
1,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,-99466;47440;-67995;117786,,105.249,166.972,0,0,"RESULT: no scores=-99466,47440,-67995,117786"
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,-117989;18922;-2973;160206,,105.469,167.061,0,0,"RESULT: no scores=-117989,18922,-2973,160206"
3,yes_1496195a_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-213286;2530;192645;22536,,105.154,166.995,0,0,"RESULT: yes scores=-213286,2530,192645,22536"
4,no_bde0f20a_nohash_0,no,no,1,no,1,-128;-126;-128;126,-177318;101097;-74534;226927,,109.155,166.737,0,0,"RESULT: no scores=-177318,101097,-74534,226927"
5,yes_3e31dffe_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-163486;-25323;203960;-38359,,108.198,169.681,0,0,"RESULT: yes scores=-163486,-25323,203960,-38359"
6,go_28e47b1a_nohash_1,unknown,unknown,1,unknown,1,-128;80;-128;-80,-148807;119149;-44088;88414,,117.034,166.831,0,0,"RESULT: unknown scores=-148807,119149,-44088,88414"
7,no_6794a793_nohash_0,no,no,1,no,1,-128;-78;-118;68,-166718;72168;29066;109688,,105.304,166.744,0,0,"RESULT: no scores=-166718,72168,29066,109688"
8,go_31270cb2_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,-129112;91362;-33934;139992,,104.384,170.260,0,0,"RESULT: no scores=-129112,91362,-33934,139992"
9,no_39833acb_nohash_2,unknown,unknown,1,no,0,-128;38;-126;-41,-132987;97533;-6417;87061,,110.205,169.798,0,0,"RESULT: unknown scores=-132987,97533,-6417,87061"
10,go_f2e59fea_nohash_3,unknown,unknown,1,unknown,1,-128;103;-126;-105,-324788;172477;53344;121637,,115.642,169.554,0,0,"RESULT: unknown scores=-324788,172477,53344,121637"
11,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,-161417;18201;157966;-22011,,106.226,169.595,0,0,"RESULT: yes scores=-161417,18201,157966,-22011"
12,go_bdd22e4d_nohash_4,no,no,1,unknown,0,-127;-103;-125;99,-64375;22793;-32013;77173,,103.250,167.154,0,0,"RESULT: no scores=-64375,22793,-32013,77173"
13,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-115887;-21917;173407;-20153,,107.783,169.728,0,0,"RESULT: yes scores=-115887,-21917,173407,-20153"
14,no_c5a1e46c_nohash_0,no,no,1,no,1,-128;-110;-127;109,-174096;69801;-2375;137768,,104.995,166.903,0,0,"RESULT: no scores=-174096,69801,-2375,137768"
15,yes_7fb8d703_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-152320;34274;201752;-42875,,109.152,166.845,0,0,"RESULT: yes scores=-152320,34274,201752,-42875"
16,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,-96566;63874;55275;1633,,106.032,169.723,0,0,"RESULT: unknown scores=-96566,63874,55275,1633"
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-144334;14958;162682;-17203,,106.154,169.954,0,0,"RESULT: yes scores=-144334,14958,162682,-17203"
18,no_18d120ae_nohash_0,no,no,1,no,1,-128;-94;-118;84,-122156;48280;17007;96027,,102.953,166.905,0,0,"RESULT: no scores=-122156,48280,17007,96027"
19,go_5677ec77_nohash_0,no,no,1,unknown,0,-128;-118;-127;118,-95381;58229;-14645;137910,,102.202,169.652,0,0,"RESULT: no scores=-95381,58229,-14645,137910"
