index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,-219976;64344;32838;125639,,102.379,169.524,0,0,"RESULT: no scores=-219976,64344,32838,125639"
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,-116390;20660;-6811;152586,,102.258,169.360,0,0,"RESULT: no scores=-116390,20660,-6811,152586"
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,-117989;18922;-2973;160206,,102.508,169.565,0,0,"RESULT: no scores=-117989,18922,-2973,160206"
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,-209126;28418;171093;3584,,105.130,167.209,0,0,"RESULT: yes scores=-209126,28418,171093,3584"
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,-221579;66761;-34705;173115,,107.182,166.884,0,0,"RESULT: no scores=-221579,66761,-34705,173115"
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,-109987;2688;83451;31368,,103.463,166.790,0,0,"RESULT: yes scores=-109987,2688,83451,31368"
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,-69492;-52395;145259;-137,,102.657,169.449,0,0,"RESULT: yes scores=-69492,-52395,145259,-137"
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,-59397;54523;-8546;107927,,100.487,169.628,0,0,"RESULT: no scores=-59397,54523,-8546,107927"
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,-122291;54452;-16086;118330,,107.254,166.762,0,0,"RESULT: no scores=-122291,54452,-16086,118330"
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-245354;2497;319180;-49226,,107.388,166.530,0,0,"RESULT: yes scores=-245354,2497,319180,-49226"
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,32434;11962;-33525;-13621,,110.213,169.372,0,0,"RESULT: silence scores=32434,11962,-33525,-13621"
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-171018;6356;172396;-27407,,106.897,167.142,0,0,"RESULT: yes scores=-171018,6356,172396,-27407"
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-134427;-12061;210975;-44696,,108.394,169.526,0,0,"RESULT: yes scores=-134427,-12061,210975,-44696"
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,-99466;47440;-67995;117786,,102.516,169.606,0,0,"RESULT: no scores=-99466,47440,-67995,117786"
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-115887;-21917;173407;-20153,,108.192,169.460,0,0,"RESULT: yes scores=-115887,-21917,173407,-20153"
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,-174581;133173;-94278;135243,,106.329,169.632,0,0,"RESULT: no scores=-174581,133173,-94278,135243"
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,-161417;18201;157966;-22011,,109.025,166.889,0,0,"RESULT: yes scores=-161417,18201,157966,-22011"
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-144334;14958;162682;-17203,,106.248,169.582,0,0,"RESULT: yes scores=-144334,14958,162682,-17203"
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,-138991;62886;-26810;150393,,106.865,166.887,0,0,"RESULT: no scores=-138991,62886,-26810,150393"
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,-107292;24760;19398;110693,,104.890,166.924,0,0,"RESULT: no scores=-107292,24760,19398,110693"
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-97852;-6088;157887;-48416,,106.492,166.881,0,0,"RESULT: yes scores=-97852,-6088,157887,-48416"
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,-292652;104374;25385;232483,,104.374,169.699,0,0,"RESULT: no scores=-292652,104374,25385,232483"
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,-168559;19234;-56973;142778,,107.018,167.016,0,0,"RESULT: no scores=-168559,19234,-56973,142778"
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,-297448;79251;-9583;231631,,105.062,166.865,0,0,"RESULT: no scores=-297448,79251,-9583,231631"
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,-183169;87764;-56873;189211,,107.186,166.845,0,0,"RESULT: no scores=-183169,87764,-56873,189211"
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,-136411;93394;-51423;195408,,104.265,169.754,0,0,"RESULT: no scores=-136411,93394,-51423,195408"
26,yes_39afb88e_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-163716;-7883;178579;-23933,,106.152,169.672,0,0,"RESULT: yes scores=-163716,-7883,178579,-23933"
27,go_8931f494_nohash_0,no,no,1,unknown,0,-128;-12;-128;11,-201858;105380;-33408;110861,,106.084,169.629,0,0,"RESULT: no scores=-201858,105380,-33408,110861"
28,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,-96566;63874;55275;1633,,109.043,166.792,0,0,"RESULT: unknown scores=-96566,63874,55275,1633"
29,no_a8f45bdc_nohash_0,no,no,1,no,1,-128;-128;-128;127,-283065;78919;-54787;238540,,107.102,166.855,0,0,"RESULT: no scores=-283065,78919,-54787,238540"
30,yes_cc6ee39b_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-135304;-25194;201824;-36775,,108.145,169.720,0,0,"RESULT: yes scores=-135304,-25194,201824,-36775"
31,go_190821dc_nohash_1,no,no,1,unknown,0,-128;-117;-128;117,-247201;93995;-91445;169815,,107.418,166.852,0,0,"RESULT: no scores=-247201,93995,-91445,169815"
32,yes_472b8045_nohash_4,yes,yes,1,yes,1,-128;-127;126;-128,-96287;9106;133775;-18743,,105.179,166.927,0,0,"RESULT: yes scores=-96287,9106,133775,-18743"
33,no_1a73dcd1_nohash_2,unknown,unknown,1,no,0,-128;4;-80;-52,-141899;64526;39875;55147,,112.909,167.023,0,0,"RESULT: unknown scores=-141899,64526,39875,55147"
34,no_6727b579_nohash_0,no,no,1,no,1,-128;-127;-128;127,-132097;60229;-68291;213844,,106.895,166.961,0,0,"RESULT: no scores=-132097,60229,-68291,213844"
