index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,-219976;64344;32838;125639,,102.211,169.594,0,0,"RESULT: no scores=-219976,64344,32838,125639"
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,-116390;20660;-6811;152586,,105.258,166.930,0,0,"RESULT: no scores=-116390,20660,-6811,152586"
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,-117989;18922;-2973;160206,,102.268,169.727,0,0,"RESULT: no scores=-117989,18922,-2973,160206"
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,-209126;28418;171093;3584,,105.119,166.897,0,0,"RESULT: yes scores=-209126,28418,171093,3584"
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,-221579;66761;-34705;173115,,104.400,169.559,0,0,"RESULT: no scores=-221579,66761,-34705,173115"
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,-109987;2688;83451;31368,,103.249,166.761,0,0,"RESULT: yes scores=-109987,2688,83451,31368"
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,-69492;-52395;145259;-137,,105.625,166.678,0,0,"RESULT: yes scores=-69492,-52395,145259,-137"
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,-59397;54523;-8546;107927,,101.418,168.493,0,0,"RESULT: no scores=-59397,54523,-8546,107927"
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,-122291;54452;-16086;118330,,104.322,169.551,0,0,"RESULT: no scores=-122291,54452,-16086,118330"
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-245354;2497;319180;-49226,,107.039,166.677,0,0,"RESULT: yes scores=-245354,2497,319180,-49226"
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,32434;11962;-33525;-13621,,110.261,169.487,0,0,"RESULT: silence scores=32434,11962,-33525,-13621"
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-171018;6356;172396;-27407,,104.705,169.582,0,0,"RESULT: yes scores=-171018,6356,172396,-27407"
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-134427;-12061;210975;-44696,,110.901,166.530,0,0,"RESULT: yes scores=-134427,-12061,210975,-44696"
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,-99466;47440;-67995;117786,,105.280,166.661,0,0,"RESULT: no scores=-99466,47440,-67995,117786"
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-115887;-21917;173407;-20153,,107.965,169.728,0,0,"RESULT: yes scores=-115887,-21917,173407,-20153"
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,-174581;133173;-94278;135243,,106.136,169.532,0,0,"RESULT: no scores=-174581,133173,-94278,135243"
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,-161417;18201;157966;-22011,,106.153,169.557,0,0,"RESULT: yes scores=-161417,18201,157966,-22011"
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-144334;14958;162682;-17203,,109.012,166.679,0,0,"RESULT: yes scores=-144334,14958,162682,-17203"
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,-138991;62886;-26810;150393,,106.800,167.000,0,0,"RESULT: no scores=-138991,62886,-26810,150393"
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,-107292;24760;19398;110693,,102.268,169.540,0,0,"RESULT: no scores=-107292,24760,19398,110693"
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-97852;-6088;157887;-48416,,107.148,167.155,0,0,"RESULT: yes scores=-97852,-6088,157887,-48416"
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,-292652;104374;25385;232483,,106.861,167.039,0,0,"RESULT: no scores=-292652,104374,25385,232483"
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,-168559;19234;-56973;142778,,107.045,167.104,0,0,"RESULT: no scores=-168559,19234,-56973,142778"
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,-297448;79251;-9583;231631,,105.157,166.672,0,0,"RESULT: no scores=-297448,79251,-9583,231631"
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,-183169;87764;-56873;189211,,107.313,166.848,0,0,"RESULT: no scores=-183169,87764,-56873,189211"
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,-136411;93394;-51423;195408,,104.359,169.649,0,0,"RESULT: no scores=-136411,93394,-51423,195408"
26,yes_39afb88e_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-163716;-7883;178579;-23933,,108.813,166.851,0,0,"RESULT: yes scores=-163716,-7883,178579,-23933"
27,go_8931f494_nohash_0,no,no,1,unknown,0,-128;-12;-128;11,-201858;105380;-33408;110861,,109.005,166.738,0,0,"RESULT: no scores=-201858,105380,-33408,110861"
28,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,-96566;63874;55275;1633,,106.079,169.627,0,0,"RESULT: unknown scores=-96566,63874,55275,1633"
29,no_a8f45bdc_nohash_0,no,no,1,no,1,-128;-128;-128;127,-283065;78919;-54787;238540,,107.113,166.648,0,0,"RESULT: no scores=-283065,78919,-54787,238540"
30,yes_cc6ee39b_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-135304;-25194;201824;-36775,,110.803,166.467,0,0,"RESULT: yes scores=-135304,-25194,201824,-36775"
